

TCG0001;AB-658-KL;1773593280
TCG0002;BH-560-JK;1773594125
LIL0002;RJ-452-TH;1773594890
TCG0003;BF-475-GU;1773595603
RBX0001;SG-145-GF;1773596428
LIL0005;ZG-470-RE;1773597154
LIL0003;TU-488-DH;1773597982
LIL0001;HR-748-DE;1773598701
LIL0008;ER-124-SG;1773599546
LIL0006;EF-145-ZV;1773600213
LIL0004;TG-455-EG;1773601088
LIL0013;YH-747-EG;1773601850
LIL0007;JK-145-SR;1773602604
LIL0009;SD-454-OJ;1773603349
LIL0015;ZD-757-DG;1773604187
VAQ0002;ZR-475-DT;1773604921
LIL0010;QE-775-HY;1773605755
RBX0003;RI-745-GR;1773606490
LIL0016;UI-485-GY;1773607214
LIL0011;FG-174-GR;1773608058
RBX0005;ML-475-JU;1773594125
LIL0012;JO-745-JI;1773594890
LIL0014;UJ-748-HY;1773595603
VAQ0003;TH-488-II;1773596428
VAQ0001;RG-756-ER;1773597154
RBX0006;RF-478-FY;1773597982
RBX0007;ED-756-R4;1773598701
RBX0001;AB-700-KM;1775119908
RBX0001;AZ-562-UI;1775120076
TCG0001;AZ-856-RE;1775120588
RBX0001;AZ-123-AZ;1775123884
LIL0013;ER-123-ER;1775124501
