
TCG0001;Parking Hotel de Ville;Rue de la Bienfaisance;Tourcoing;434;185;OUVERT
TCG0002;Parking Miss Cavell;Avenue Allende;Tourcoing;273;150;ABONNES
LIL0002;Parking Plaza;Rue Nationale;Lille;300;140;OUVERT
TCG0003;Parking St Christophe;Rue des Anges;Tourcoing;757;604;OUVERT
RBX0001;Parking CHURCHILL;Rue du president Vincent Auriol;Roubaix;487;421;OUVERT
LIL0005;Parking Gare Lille Flandres;Rue de Tournai;Lille;376;174;OUVERT
LIL0003;Parking Les Tanneurs;Rue du Molinel;Lille;520;275;OUVERT
LIL0001;Parking Republique;Place de la Republique;Lille;203;183;OUVERT
LIL0008;Parking Gare Lille Europe;Avenue de Cologne;Lille;450;494;OUVERT
LIL0006;Parking Euralille;164 Avenue Willy Brandt;Lille;2500;2200;OUVERT
LIL0004;Parking Grand Palais;Boulevard des Citees Unies;Lille;1219;928;OUVERT
LIL0013;Parking Bethune-Lafayette;6 rue de la Riviere;Lille;600;4;FERME
LIL0007;Parking Tours;Boulevard de Turin;Lille;250;122;OUVERT
LIL0009;Parking Opera;Avenue Carnot;Lille;433;361;OUVERT
LIL0015;Parking Liberte;Facade de l'Esplanade;Lille;525;388;OUVERT
VAQ0002;Parking 4CANTONS;Avenue Pointcare;Villeneuve d'Ascq;2000;1923;OUVERT
LIL0010;Parking Vieux Lille;Avenue du Peuple Belge;Lille;245;169;OUVERT
RBX0003;Parking Mac Arthur Glen (Gambetta);Rue Charles Watteeuw;Roubaix;878;631;OUVERT
LIL0016;Parking Petit Paradis;Facade Esplanade;Lille;293;208;OUVERT
LIL0011;Parking Grand Place;Place du General de Gaulle;Lille;342;24;OUVERT
RBX0005;Parking LA POSTE;Rue de la Halle;Roubaix;75;7;OUVERT
LIL0012;Parking Rihour-Printemps;Place Rihour;Lille;300;291;OUVERT
LIL0014;Parking Nouveau Siecle;19 place Mendes France;Lille;940;546;OUVERT
VAQ0003;Parking LESPRES;Boulevard de l'Ouest;Villeneuve d'Ascq;1000;0;.
VAQ0001;Parking TRIOLO;Avenue Paul Langevin;Villeneuve d'Ascq;1400;0;FERME
RBX0006;Parking GRAND RUE;Avenue des Nations Unies;Roubaix;1300;230;OUVERT
RBX0007;Parking CENTRE;Rue Neuve;Roubaix;85;2;COMPLET
